#,started on Sat,01-10-2014 06:36,,
,,,,
#,time,counts unit,events,
,1.052398388,"1,908",iTLB-load-misses,-35.06%
,1.052398388,"68,302",LLC-load-misses,-40.38%
,1.052398388,"1,17,458",LLC-store-misses,-42.57%
,1.052398388,"55,20,132",branch-load-misses,-53.21%
,1.052398388,"34,43,25,437",cycles,-63.85%
,1.052398388,"56,62,92,170",instructions                     #    1.64  insn per cycle,-70.27%
,1.127597564,"55,20,428",branch-misses,-57.45%
,1.127597564,"3,15,514",cache-misses,-68.08%
,1.127597564,"6,43,217",L1-dcache-load-misses,-68.08%
,1.127597564,"1,86,897",L1-icache-load-misses,-73.39%
,1.127597564,"50,154",dTLB-load-misses,-78.70%
,1.127597564,"8,529",dTLB-store-misses,-84.02%
,1.127597564,"1,728",iTLB-load-misses,-37.26%
,1.127597564,"67,301",LLC-load-misses,-31.94%
,1.127597564,"1,16,065",LLC-store-misses,-26.62%
,1.127597564,"55,27,109",branch-load-misses,-31.94%
,1.127597564,"34,44,93,859",cycles,-37.26%
,1.127597564,"56,26,94,763",instructions                     #    1.63  insn per cycle,-46.81%
,1.202776966,"55,19,432",branch-misses,-78.72%
,1.202776966,"3,13,076",cache-misses,-84.04%
,1.202776966,"6,50,026",L1-dcache-load-misses,-84.04%
,1.202776966,"1,87,042",L1-icache-load-misses,-78.74%
,1.202776966,"48,414",dTLB-load-misses,-73.42%
,1.202776966,"8,401",dTLB-store-misses,-68.10%
,1.202776966,"1,753",iTLB-load-misses,-26.58%
,1.202776966,"65,757",LLC-load-misses,-31.90%
,1.202776966,"1,14,977",LLC-store-misses,-37.22%
,1.202776966,"55,13,408",branch-load-misses,-47.86%
,1.202776966,"34,43,55,743",cycles,-58.50%
,1.202776966,"56,39,57,376",instructions                     #    1.64  insn per cycle,-69.14%
,1.277946818,"55,51,024",branch-misses,-57.43%
,1.277946818,"3,06,697",cache-misses,-68.07%
,1.277946818,"6,46,014",L1-dcache-load-misses,-68.07%
,1.277946818,"1,86,446",L1-icache-load-misses,-68.07%
,1.277946818,"48,622",dTLB-load-misses,-70.25%
,1.277946818,"8,388",dTLB-store-misses,-75.57%
,1.277946818,"1,738",iTLB-load-misses,-42.57%
,1.277946818,"64,453",LLC-load-misses,-40.40%
,1.277946818,"1,17,757",LLC-store-misses,-35.08%
,1.277946818,"55,49,715",branch-load-misses,-40.40%
,1.277946818,"34,45,01,494",cycles,-45.72%
,1.277946818,"56,54,99,888",instructions                     #    1.64  insn per cycle,-51.04%
,1.353129235,"61,20,024",branch-misses,-71.35%
,1.353129235,"2,29,203",cache-misses,-81.99%
,1.353129235,"8,11,471",L1-dcache-load-misses,-84.04%
,1.353129235,"2,47,697",L1-icache-load-misses,-84.04%
,1.353129235,"9,833",dTLB-load-misses,-81.86%
,1.353129235,"11,082",dTLB-store-misses,-76.54%
,1.353129235,"2,443",iTLB-load-misses,-21.28%
,1.353129235,"24,335",LLC-load-misses,-23.46%
,1.353129235,"1,50,408",LLC-store-misses,-28.77%
,1.353129235,"60,73,411",branch-load-misses,-39.41%
,1.353129235,"34,46,37,192",cycles,-50.05%
,1.353129235,"52,45,31,801",instructions                     #    1.52  insn per cycle,-60.70%
,1.428296451,"56,96,510",branch-misses,-64.80%
,1.428296451,"2,29,980",cache-misses,-70.12%
,1.428296451,"4,29,016",L1-dcache-load-misses,-68.07%
,1.428296451,"14,227",L1-icache-load-misses,-68.07%
,1.428296451,"35,988",dTLB-load-misses,-68.07%
,1.428296451,"3,065",dTLB-store-misses,-68.07%
,1.428296451,126,iTLB-load-misses,-42.57%
,1.428296451,"48,892",LLC-load-misses,-42.57%
,1.428296451,"58,256",LLC-store-misses,-42.57%
,1.428296451,"57,07,540",branch-load-misses,-48.85%
,1.428296451,"34,44,38,020",cycles,-54.17%
,1.428296451,"56,16,81,531",instructions                     #    1.63  insn per cycle,-59.49%
,1.503475125,"56,84,531",branch-misses,-62.91%
,1.503475125,"2,03,917",cache-misses,-73.55%
,1.503475125,"4,08,265",L1-dcache-load-misses,-78.87%
,1.503475125,"15,072",L1-icache-load-misses,-84.04%
,1.503475125,"35,369",dTLB-load-misses,-84.04%
