,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,cycles,instructions
6830,344355,1308677,5630569,14512,2678,9392,813,141938,297139,421299,228258039,467411964
6831,294860,1314611,6732162,19788,6345,9906,57,874,4208,137820,231577030,296233559
6832,511498,1138267,5925628,18478,5804,12669,564,58682,39481,609372,229126402,373666892
6833,526508,61996,1805017,27248,575,2685,1596,3076,84,618052,232348221,253478463
6834,274119,785754,2019960,565014,8175,16849,190,26762,89546,342480,228578623,451697425
6835,422190,1722391,8405404,78356,7194,23524,691,49268,167619,332073,228952584,545198220
6836,239904,839276,4316506,15972,5171,9560,1168,56589,90394,226991,231212414,256949916
6837,584584,1622598,8663826,20292,8678,15215,655,72881,199731,580242,228825277,521387009
6838,666319,265575,2328239,20333,931,3013,0,564,68797,761214,231584694,221951699
6839,488564,302181,2812908,59716,7930,19527,954,11275,463,416614,232301495,396186803
6840,341814,747398,6887635,338741,3792,12447,1609,30096,181562,503821,227788078,541021470
6841,323197,1374199,6400167,23717,5761,10810,77,46738,104961,305001,228577373,472378430
6842,177704,643372,4848672,20102,6321,9420,656,19579,19871,186618,232234861,257562224
6843,663342,1280634,7158358,19817,6342,9765,157,35221,93648,554499,229642193,402501273
6844,566568,193677,2132852,28921,167,736,815,3837,27905,544022,231523122,314758569
6845,286545,778733,2056100,510860,7042,15103,126,2256,529,301338,232331784,442944636
6846,383653,1740119,8169716,45756,6453,19984,613,99219,208640,402750,229576300,478355505
6847,300502,1081042,5250275,17388,3765,6727,617,77707,126123,488550,228701726,384221306
6848,435993,1432337,7427660,24422,7982,8637,652,73796,241935,357548,229895058,386966239
6849,563049,269625,2120573,19294,983,3976,209,1018,266,584399,232264702,181333924
6850,423234,350999,1605868,30602,3979,13822,2746,135804,164708,411920,229399120,393390204
6851,506227,1732479,7027442,420087,3526,12687,773,82759,229008,438622,227115505,546756424
6852,363908,1422788,7127821,21847,4051,6073,42,124165,333393,363507,229714213,501648792
6853,266361,1199325,5897744,17822,4570,10129,432,55392,56982,321651,229366994,294420806
6854,553646,776948,3679009,15203,3406,7708,99,892,18613,902118,231121070,241927627
6855,635185,583841,3015890,59522,4696,12993,1310,5960,6522,646324,229203985,343642228
6856,152954,541448,2330753,559576,5129,14537,610,23915,8769,143013,231959931,468044241
6857,265570,1356961,6050767,22511,6215,16412,561,45895,137806,234947,230646291,353594937
6858,382364,1554467,6064499,17248,4144,8245,711,123886,260125,432708,228983461,392429287
6859,515459,1119038,7243600,18904,7562,12643,809,44239,151849,454939,230372259,438027449
6860,639187,186388,2186335,29045,888,3432,256,1015,154,673942,231535842,247093482
6861,322292,71039,1490687,45913,6305,16335,2873,130523,9235,227699,231173044,424552942
6862,530601,1722867,8537248,51643,6818,20307,1642,71561,202138,506169,227839426,524168259
6863,398341,1518220,6407816,16727,4072,7456,503,92176,288508,506038,228662962,534519522
6864,321732,1250075,6550050,21910,7953,14492,770,61544,13259,310370,229626604,335665362
6865,552894,137590,2016745,13058,1320,5659,1137,1038,12932,624943,232247068,148006216
6866,517402,777376,2882531,54468,4564,7648,560,107282,285092,588610,227495450,374985060
6867,327860,733241,5061618,784525,2282,6937,4407,67976,84332,257123,228839707,514338622
6868,243310,1022727,5183724,22786,5602,15458,723,12219,66738,291491,230682947,361654537
6869,352089,1282724,6466298,22448,7551,9120,420,20985,62228,364124,229462533,432957653
6870,459010,1342473,6952871,19615,5297,10012,864,74882,167082,360849,229017710,446144834
6871,655199,188905,1971414,25897,693,3100,395,1209,9705,550573,232255128,205572960
6872,268022,892331,1861223,32948,562,1854,1383,219794,442209,239331,225184808,444659809
6873,433870,1477548,7767728,552942,5747,17698,488,82582,171128,367339,228960666,540297126
6874,299653,1186370,6567468,22660,7063,8918,218,1422,52830,234212,230415939,363628934
6875,353063,1287300,6930757,22133,6789,10569,752,74427,98916,419367,228679178,434194941
6876,569264,301360,2004402,14150,514,4497,554,3808,49230,539116,231575888,230357958
6877,624694,889158,3152874,55660,6544,15882,361,1619,75,724452,230180768,375762281
6878,292097,931758,4177134,602285,2656,8757,760,101968,186106,356653,229723936,551084886
6879,190946,1171089,5211171,22994,6624,17063,402,10807,81328,177983,232184459,246527254
6880,388419,1435847,7274849,21387,4617,5286,243,88584,223482,417820,228645980,476757154
6881,448584,790770,4709443,15649,5609,6512,507,47834,120335,369516,230820546,227144095
6882,720001,174581,2259395,33414,589,2557,770,2444,888,848861,232232226,282816574
6883,203913,525787,1691239,217476,4676,14062,2104,111719,178890,240316,228832598,472489637
6884,485102,1864378,7028728,36169,3755,15427,681,154315,377126,506723,226941675,508077834
6885,298095,1211597,6960364,19291,5018,7614,144,58017,146256,227889,230812028,347396982
6886,546996,1696241,7559863,22712,6360,12616,546,82405,52240,813571,227161495,467975688
6887,535576,124776,1656950,20791,743,4379,1168,4423,13136,659164,231858548,213065499
6888,446256,946746,2918508,58593,7432,16695,206,2732,3051,530484,227947630,422476644
6889,324795,1435031,6396290,504565,6648,20790,1876,84568,179800,332716,230603744,580903426
6890,247798,1141795,5244958,16728,4575,10750,486,57688,86122,235548,230084172,238977997
6891,375061,1319603,7493467,18072,5667,6479,536,105296,255785,369123,229541729,464870921
6892,553295,478968,2595858,10668,2663,10314,453,27867,87621,549165,231819898,213769261
6893,673652,85624,2553732,57858,5653,12132,545,68821,83,712860,231369639,336691511
6894,251163,377210,4022604,233100,1227,7867,2462,44273,157482,304105,229349180,502115200
6895,339106,1309902,8738973,130193,7424,18020,487,38420,79190,309008,229630008,550563334
6896,226972,857090,4401364,16240,5485,10493,873,37208,96380,176818,230902805,256839424
6897,558159,1470955,8519399,24169,10842,13489,611,57389,144347,530115,229050338,526810780
6898,829076,221526,2292142,22192,707,1943,13,1846,40012,852245,231901401,226337913
6899,472471,562065,2911926,59585,7652,16002,1171,1849,364,412274,232208590,398286589
6900,475524,1283179,6282193,422532,6609,17528,2123,150682,184863,750541,227650769,564089680
6901,311550,1003284,5532474,18427,6487,9092,693,44733,106174,363135,230069147,449129193
6902,294246,1177170,6028174,19671,6496,9970,526,34338,5150,227567,229367837,347756578
6903,640964,577529,3590534,14368,1419,6942,147,36241,70447,520237,230637483,211494690
6904,641102,895881,3488721,39449,541,2687,1628,110876,299254,613132,228990137,360261751
6905,250439,701016,3542447,511277,4028,8154,112,18816,97907,129148,228713340,468944627
6906,277282,1266419,6033151,26183,6301,12302,305,38404,105858,271446,229695788,436156112
6907,227839,858891,5186798,19426,6757,11873,866,27182,59118,238928,229963647,287670032
6908,660427,1256806,7777696,21942,7074,9609,250,24368,82820,599807,230512959,449694702
6909,625572,206123,2148440,27975,347,1022,415,4114,38743,568350,231342950,279870549
6910,360989,688098,2364407,50348,7496,19595,185,1841,520,385691,232236639,431211018
6911,469215,1728081,7882614,621839,7920,16841,1280,79976,261890,549811,228562044,556160025
6912,272401,936400,4782220,16118,4270,6641,775,45384,89416,360194,229599129,360296147
