,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,cycles,instructions
5533,359857,1347948,7490872,22154,6771,7108,129,42371,274025,366792,230013665,440487348
5534,575089,500450,2651372,11641,2032,5029,435,43561,98749,569016,231341475,199846051
5535,647606,223098,2524736,59959,5006,13308,1758,55126,105,697248,231978095,372841862
5536,331235,839835,3677214,50377,2726,11648,2543,54366,155531,306058,229116727,489061931
5537,366777,1523936,5718116,18989,2759,12664,1024,157508,391525,448007,227266014,464215517
5538,343718,1244587,6972897,21090,6687,11116,45,986,1666,213630,231022284,389983912
5539,565914,1065108,6158338,21106,5959,12571,477,49564,35808,652050,229033172,373603688
5540,666224,114374,2116370,30082,649,2783,1189,1494,142,503222,232250583,240043577
5541,213308,863553,1988152,586734,4246,6405,1066,103459,258503,251874,227205068,454536342
5542,475392,1615726,8649255,61439,6317,16665,484,43695,194384,410177,228230205,616808193
5543,218071,894432,5561497,21958,7403,11141,419,5471,20519,181345,230917252,259973424
5544,433288,1506417,8340243,24615,7721,11287,446,43255,108880,466139,227932267,569643000
5545,633780,249029,2033169,20087,369,3955,1349,5399,76070,636568,231654789,249121548
5546,415956,937268,2924544,59100,8004,18131,505,2403,259,429864,229889344,426417761
5547,310489,1144715,6773562,580074,4128,13338,7946,49300,70267,250535,227008173,529430354
5548,360008,1343949,5413088,16897,4803,17006,940,117603,248119,450126,228134155,511783856
5549,325668,1165587,6768358,21746,7478,10982,310,24600,5752,86711,230205657,313971353
5550,545308,803741,4443882,18582,3152,9300,457,38446,27324,535270,229547020,294739371
5551,779229,210031,2440833,37496,736,2601,1286,2593,5163,633994,232232547,319619908
5552,282880,1006845,3365643,526169,4292,5561,1628,159694,337004,206384,226933029,471191171
5553,295848,1368997,7314503,27507,5505,13960,289,39538,119060,283387,229551545,474194721
5554,248323,962097,5839929,20131,7203,10372,540,2470,57823,250655,230623202,313426405
5555,509940,1502490,8229158,25000,7462,12120,354,38532,88177,518651,228776798,478628651
5556,645143,232854,1859623,26822,356,3219,1247,5742,48517,811322,231365752,276031308
5557,335166,800536,2334918,54061,7985,19349,196,2332,331,359294,229991408,432944858
5558,416460,1815077,7974354,562269,6776,19517,1061,137416,273874,511645,229848393,600032923
5559,237461,971855,4584660,16910,4338,9940,674,68931,89137,238808,230898211,246842174
5560,425298,1582004,8445524,19963,8152,12276,629,75141,241575,373972,228732781,553369746
5561,707774,242040,2507020,21259,1087,3822,23,378,44135,786785,231594849,224068963
5562,497988,350177,2953517,62998,8089,19236,1376,5792,431,442312,232165295,396107188
5563,460174,1201287,5774218,100902,5112,14668,1483,119652,200963,635397,227658629,543443741
5564,320452,983955,5446504,19562,7369,11517,976,59529,147016,392155,229833074,469968169
5565,297257,1228624,6618738,21495,7428,10451,379,31168,3890,211570,229866666,367236398
5566,546508,547330,3401287,14256,1512,4747,272,32808,90135,380323,230895051,229620092
5567,631608,762795,2921472,40415,3146,10465,1696,151400,328567,630227,228724383,373021386
5568,322225,810556,3673451,502719,3008,6034,116,60888,169157,228699,229637763,469905706
5569,340140,1644680,6925889,25730,3659,6968,310,94473,312956,376867,227940581,479495939
5570,250524,1140421,6579391,23587,6390,9952,214,1649,2738,181166,232240060,305467938
5571,664197,1259385,6462942,20850,5561,12196,434,52630,46339,770248,228471114,397518066
5572,485373,65095,1800218,27745,567,3461,1473,4760,103,607307,231685144,256501860
5573,278794,762048,2062132,377368,8360,18561,149,2392,26243,336999,229132085,439151488
5574,466117,1561034,9618703,364771,7621,20991,1239,98436,192032,458687,225169845,605835653
5575,303504,942605,5379009,18217,5327,8058,749,69206,71759,379042,229505323,438724546
5576,341279,1436871,7087731,23897,8062,10570,566,58963,59051,303748,228998666,386111203
5577,517408,344811,2609196,16404,1279,5369,23,611,97738,303634,231906757,166511708
5578,529973,647252,2370265,43568,3057,8014,1699,167367,264397,477802,228332974,383111387
5579,384052,1121418,4760942,531084,3475,8566,208,6066,147765,318566,231141788,496125882
5580,363940,1488130,7241406,22028,2599,5239,414,128037,305381,396728,228882720,537001933
5581,255279,1157137,6028370,18394,6669,10710,375,30456,33355,200700,230808707,210272134
5582,525261,934058,5310542,17962,4411,9049,267,44635,22388,763516,230047931,329557060
5583,660649,40084,2058873,32415,657,2572,1360,3322,68,637041,232246830,318791414
5584,210142,946118,3334571,541082,7483,19925,65,2473,41985,184999,227955251,466656770
5585,309028,1459559,6557649,27549,6948,23685,636,39613,120395,231935,229821725,426362973
5586,279163,952690,4654941,16556,5085,8907,949,66712,151804,289953,230969657,306108549
5587,576187,1314370,8328940,22476,10839,14772,683,52583,162110,620204,229823395,457017033
5588,851086,207334,2230570,28976,511,1243,252,2825,44862,768488,231304209,258931535
5589,362878,617314,2450177,49927,7622,19449,535,2124,386,363206,232255866,419497160
5590,480048,1621677,7663569,586242,7680,20080,1121,72202,136634,565098,228687560,569350312
5591,275000,933935,4980397,16190,4311,6595,865,43382,96085,376994,229778116,355528832
5592,345228,1547965,7684857,22672,8565,7877,519,69864,242094,292524,229271656,416314063
5593,637811,268087,2260056,18041,1168,4839,112,582,291,538473,232308638,174606663
5594,472514,313808,1774417,54674,4472,13893,2370,98242,94980,435400,230354705,392318509
5595,471361,1404649,5828277,182711,3677,10667,823,71733,254195,464343,228903842,521264898
5596,407427,1576894,7350376,19370,3684,10958,774,119525,301178,431876,228275495,539187564
5597,293708,1248003,5933727,18129,6180,10491,566,50653,21768,227209,230824885,254568135
5598,497076,657309,4125642,14653,3174,7990,56,20287,16109,588729,229845073,272172604
5599,643731,614914,3229472,57024,2051,3581,1120,70566,233488,607353,229325945,345758397
5600,226007,541666,3378432,635352,4434,10583,230,2134,42917,128749,228925600,467001740
5601,337661,1528112,7725878,62638,7315,18111,875,76888,142644,358725,228574890,455031090
5602,326929,1080340,5627938,17369,3967,6206,544,57821,121287,533853,228287205,434753330
5603,420559,1312735,7088098,22750,8062,9164,708,79662,238717,356593,229832139,378789393
5604,633117,255819,2133259,21514,1040,3923,269,1198,215,599210,232187890,197662686
5605,385253,266856,1356433,46526,3961,10151,3949,146963,98144,385926,230269493,406794973
5606,566525,1943180,8128504,60962,4772,16824,1419,93069,295722,497970,226719569,559977071
5607,383442,1393003,6682489,17562,4495,7953,546,111004,266057,398101,228876407,520671906
5608,348093,1260622,6660014,18953,7640,9989,584,50272,14695,328424,230046000,340576047
5609,530674,312909,2573008,17004,1677,8668,1151,948,18794,582304,231176236,170228944
5610,544245,793636,3204470,61813,4173,6018,852,113754,256757,550608,227911346,366432568
5611,277821,490713,3720748,578858,3687,12035,551,8717,748,159330,231487762,521159871
5612,322573,1347967,6995906,23937,7251,14792,23,2146,75918,248828,228845480,462321365
5613,238762,868421,4866978,17414,6903,10423,862,36407,96856,314668,230897901,333512549
5614,728231,955533,6115272,19546,5931,8582,61,2590,53122,672439,230057585,369277639
5615,583199,176193,2381657,36090,192,544,563,3874,23717,568040,231573726,325529841
5616,196828,888495,2328847,511531,7479,19612,180,1826,578,135253,231642572,449909808
5617,335907,1498186,7002755,26272,5837,16519,862,101683,196456,369673,229457423,420692826
5618,314981,1269926,5688858,17360,3690,7113,581,58555,176287,450356,229320175,386664973
5619,532614,1329003,7741368,19681,8169,10794,831,115900,254447,474284,230214799,429953575
5620,611477,211612,2001653,25195,832,3711,747,967,167,660250,231873617,236798557
5621,338653,86455,1554691,46369,6147,17431,2998,117114,39594,299449,231336841,419007751
5622,547715,1753604,8222680,49959,6807,19534,1628,65578,202799,525647,227716051,530600247
5623,388972,1307479,6119968,18774,5194,8743,627,111431,302968,501564,227806356,525706528
5624,323235,1296510,6966651,24088,7646,15064,609,52561,19824,268261,233095113,352295947
5625,768088,292690,2251078,15168,1031,5554,643,937,17898,599812,232142297,133288817
5626,469951,772418,2792337,37959,2344,533,2341,137982,350595,487956,227691938,385501748
5627,413876,830518,5679353,886522,2570,8814,874,78958,94342,312354,229341014,515291875
5628,236182,1397878,6127652,25986,6571,16776,262,37301,185228,247857,230232957,368190826
5629,397146,1389660,6425089,18276,1957,3956,578,92334,264852,461927,228363438,462761622
5630,534544,1091380,6699538,17579,7217,9695,785,75129,173904,465556,231018412,380925730
5631,651744,175132,2198783,32124,718,3100,363,1113,286,680997,231945733,272027669
5632,430013,276594,10237483,692352,5679,14852,3031,98789,114768,352733,229249015,602852218
5633,365534,25268,14158097,941213,770,446,338,4798,69,364598,232209779,703218317
5634,367871,29670,14124882,924514,851,496,413,5491,236,365036,232173682,705031287
5635,351717,25744,14074234,915006,770,419,399,5140,28,354402,232169023,708302963
5636,160586,148533,3340923,710187,662,333,272,34512,66085,186411,231275858,531750739
5637,504258,1602065,8163930,91735,4866,12465,649,116504,344959,480102,228147907,545236070
5638,280408,1153898,6959732,21988,6194,7508,131,29393,151062,221745,230791613,336157338
5639,424267,1768808,7408867,20436,6214,11355,521,79845,114797,622813,226552158,468359443
5640,608287,151279,1797185,18116,841,4199,1003,4299,9750,771849,232050700,224411713
5641,426154,927234,2918440,56860,7245,15306,409,2322,30043,474252,228012235,416445556
