,B,C,D,E
7451,46.55865236,"2,61,750",branch-load-misses,-49.39%
7452,46.55865236,"18,73,13,545",cycles,-60.02%
7453,46.55865236,"20,42,97,312",instructions              #    1.09  insn per cycle,-70.65%
7454,46.63387896,"2,64,405",branch-misses,-57.46%
7455,46.63387896,"33,22,912",cache-misses,-68.09%
7456,46.63387896,"83,30,479",L1-dcache-load-misses,-68.09%
7457,46.63387896,"4,12,758",L1-icache-load-misses,-68.09%
7458,46.63387896,"10,65,625",dTLB-load-misses,-71.69%
7459,46.63387896,"4,500",dTLB-store-misses,-77.01%
7460,46.63387896,"9,519",iTLB-load-misses,-42.54%
7461,46.63387896,"8,20,608",LLC-load-misses,-38.95%
7462,46.63387896,"10,252",LLC-store-misses,-33.63%
7463,46.63387896,"2,69,458",branch-load-misses,-38.95%
7464,46.63387896,"18,75,45,238",cycles,-44.27%
7465,46.63387896,"20,13,45,104",instructions              #    1.07  insn per cycle,-49.58%
7466,46.70910544,"2,46,736",branch-misses,-72.73%
7467,46.70910544,"33,10,944",cache-misses,-83.36%
7468,46.70910544,"85,12,492",L1-dcache-load-misses,-84.04%
7469,46.70910544,"4,52,824",L1-icache-load-misses,-84.05%
7470,46.70910544,"10,95,759",dTLB-load-misses,-80.45%
7471,46.70910544,"5,004",dTLB-store-misses,-75.14%
7472,46.70910544,"9,731",iTLB-load-misses,-21.27%
7473,46.70910544,"9,00,257",LLC-load-misses,-24.86%
7474,46.70910544,"8,815",LLC-store-misses,-30.17%
7475,46.70910544,"2,44,089",branch-load-misses,-40.81%
7476,46.70910544,"18,59,44,249",cycles,-51.44%
7477,46.70910544,"19,94,33,467",instructions              #    1.07  insn per cycle,-62.07%
7478,46.78432117,"1,23,223",branch-misses,-63.45%
7479,46.78432117,"13,52,452",cache-misses,-68.77%
7480,46.78432117,"1,45,42,501",L1-dcache-load-misses,-68.09%
7481,46.78432117,"1,61,069",L1-icache-load-misses,-68.09%
7482,46.78432117,"3,70,503",dTLB-load-misses,-68.09%
7483,46.78432117,"3,689",dTLB-store-misses,-68.45%
7484,46.78432117,"5,304",iTLB-load-misses,-42.55%
7485,46.78432117,"5,17,015",LLC-load-misses,-42.55%
7486,46.78432117,"12,046",LLC-store-misses,-42.20%
7487,46.78432117,"1,47,798",branch-load-misses,-47.51%
7488,46.78432117,"20,53,43,040",cycles,-52.83%
7489,46.78432117,"54,46,79,767",instructions              #    2.65  insn per cycle,-58.15%
7490,46.85951518,"29,410",branch-misses,-64.20%
7491,46.85951518,"43,207",cache-misses,-74.84%
7492,46.85951518,"1,88,18,338",L1-dcache-load-misses,-80.15%
7493,46.85951518,"15,075",L1-icache-load-misses,-84.04%
7494,46.85951518,"2,138",dTLB-load-misses,-84.04%
7495,46.85951518,"1,259",dTLB-store-misses,-83.69%
7496,46.85951518,95,iTLB-load-misses,-25.17%
7497,46.85951518,"6,249",LLC-load-misses,-21.28%
7498,46.85951518,"6,560",LLC-store-misses,-21.63%
7499,46.85951518,"29,396",branch-load-misses,-32.27%
7500,46.85951518,"23,22,23,532",cycles,-42.90%
7501,46.85951518,"84,07,58,783",instructions              #    3.62  insn per cycle,-53.54%
7502,46.93468866,"17,973",branch-misses,-71.95%
7503,46.93468866,"29,760",cache-misses,-77.27%
7504,46.93468866,"1,89,20,780",L1-dcache-load-misses,-71.95%
7505,46.93468866,"13,891",L1-icache-load-misses,-68.07%
7506,46.93468866,"1,448",dTLB-load-misses,-68.07%
7507,46.93468866,954,dTLB-store-misses,-68.08%
7508,46.93468866,64,iTLB-load-misses,-38.68%
7509,46.93468866,"4,529",LLC-load-misses,-42.57%
7510,46.93468866,"5,147",LLC-store-misses,-42.57%
7511,46.93468866,"17,910",branch-load-misses,-53.21%
7512,46.93468866,"23,22,36,612",cycles,-61.32%
7513,46.93468866,"84,57,12,633",instructions              #    3.64  insn per cycle,-66.64%
7514,47.00986344,"15,487",branch-misses,-57.43%
7515,47.00986344,"25,163",cache-misses,-68.07%
7516,47.00986344,"1,89,34,131",L1-dcache-load-misses,-71.70%
7517,47.00986344,"13,756",L1-icache-load-misses,-77.03%
7518,47.00986344,"1,239",dTLB-load-misses,-82.35%
7519,47.00986344,807,dTLB-store-misses,-84.04%
7520,47.00986344,71,iTLB-load-misses,-33.62%
7521,47.00986344,"3,512",LLC-load-misses,-28.30%
7522,47.00986344,"4,321",LLC-store-misses,-22.98%
7523,47.00986344,"15,472",branch-load-misses,-28.30%
7524,47.00986344,"23,22,17,672",cycles,-36.14%
7525,47.00986344,"84,75,88,163",instructions              #    3.65  insn per cycle,-46.79%
7527,47.08503879,"13,444",branch-misses,-78.71%
7528,47.08503879,"21,475",cache-misses,-84.04%
7529,47.08503879,"1,89,39,035",L1-dcache-load-misses,-80.40%
7530,47.08503879,"12,903",L1-icache-load-misses,-75.08%
7531,47.08503879,"1,034",dTLB-load-misses,-69.76%
7532,47.08503879,785,dTLB-store-misses,-68.08%
7533,47.08503879,49,iTLB-load-misses,-30.23%
7534,47.08503879,"3,116",LLC-load-misses,-35.55%
7535,47.08503879,"3,648",LLC-store-misses,-40.87%
7536,47.08503879,"13,500",branch-load-misses,-51.51%
7537,47.08503879,"23,22,57,177",cycles,-62.15%
7538,47.08503879,"84,76,22,074",instructions              #    3.65  insn per cycle,-72.79%
7539,47.16021589,"12,540",branch-misses,-57.43%
7540,47.16021589,"19,891",cache-misses,-68.07%
7541,47.16021589,"1,89,93,099",L1-dcache-load-misses,-68.07%
7542,47.16021589,"10,034",L1-icache-load-misses,-68.58%
7543,47.16021589,977,dTLB-load-misses,-73.90%
7544,47.16021589,624,dTLB-store-misses,-79.22%
7545,47.16021589,66,iTLB-load-misses,-42.07%
7546,47.16021589,"2,898",LLC-load-misses,-36.75%
7547,47.16021589,"5,339",LLC-store-misses,-31.43%
7548,47.16021589,"12,503",branch-load-misses,-36.75%
7549,47.16021589,"23,22,66,252",cycles,-42.07%
7550,47.16021589,"85,11,70,104",instructions              #    3.66  insn per cycle,-47.39%
7551,47.23539405,"29,435",branch-misses,-74.99%
7552,47.23539405,"59,637",cache-misses,-84.03%
7553,47.23539405,"2,13,70,932",L1-dcache-load-misses,-84.04%
7554,47.23539405,"14,775",L1-icache-load-misses,-83.53%
7555,47.23539405,"1,831",dTLB-load-misses,-78.22%
7556,47.23539405,"1,857",dTLB-store-misses,-72.90%
7557,47.23539405,431,iTLB-load-misses,-21.78%
7558,47.23539405,"18,094",LLC-load-misses,-27.10%
7559,47.23539405,"18,581",LLC-store-misses,-32.41%
7560,47.23539405,"33,673",branch-load-misses,-43.05%
7561,47.23539405,"23,08,12,694",cycles,-53.69%
7562,47.23539405,"82,87,68,535",instructions              #    3.59  insn per cycle,-64.33%
7563,47.31056503,"22,933",branch-misses,-61.15%
7564,47.31056503,"41,990",cache-misses,-68.07%
7565,47.31056503,"2,51,09,768",L1-dcache-load-misses,-68.07%
7566,47.31056503,"14,747",L1-icache-load-misses,-68.07%
7567,47.31056503,"1,261",dTLB-load-misses,-68.07%
7568,47.31056503,"1,408",dTLB-store-misses,-70.77%
7569,47.31056503,54,iTLB-load-misses,-42.57%
7570,47.31056503,"6,112",LLC-load-misses,-42.57%
7571,47.31056503,"9,088",LLC-store-misses,-39.88%
7572,47.31056503,"22,824",branch-load-misses,-45.20%
7573,47.31056503,"23,22,38,634",cycles,-50.52%
7574,47.31056503,"87,87,51,978",instructions              #    3.78  insn per cycle,-55.84%
7575,47.38574025,"15,118",branch-misses,-66.55%
7576,47.38574025,"30,906",cache-misses,-77.19%
7577,47.38574025,"2,55,79,127",L1-dcache-load-misses,-82.51%
7578,47.38574025,"13,257",L1-icache-load-misses,-84.04%
7579,47.38574025,915,dTLB-load-misses,-84.04%
7580,47.38574025,"1,099",dTLB-store-misses,-81.34%
7581,47.38574025,65,iTLB-load-misses,-22.81%
7582,47.38574025,"4,233",LLC-load-misses,-21.28%
7583,47.38574025,"5,947",LLC-store-misses,-23.98%
7584,47.38574025,"14,739",branch-load-misses,-34.62%
7585,47.38574025,"23,22,59,843",cycles,-45.26%
7586,47.38574025,"89,18,34,685",instructions              #    3.84  insn per cycle,-55.90%
7587,47.46091596,"12,455",branch-misses,-69.59%
7588,47.46091596,"24,094",cache-misses,-74.91%
7589,47.46091596,"2,57,26,183",L1-dcache-load-misses,-69.59%
7590,47.46091596,"14,371",L1-icache-load-misses,-68.07%
7591,47.46091596,780,dTLB-load-misses,-68.07%
7592,47.46091596,925,dTLB-store-misses,-68.08%
7593,47.46091596,46,iTLB-load-misses,-41.04%
7594,47.46091596,"3,547",LLC-load-misses,-42.57%
7595,47.46091596,"4,961",LLC-store-misses,-42.57%
7596,47.46091596,"12,441",branch-load-misses,-53.21%
7597,47.46091596,"23,22,16,460",cycles,-58.96%
7598,47.46091596,"89,84,56,441",instructions              #    3.87  insn per cycle,-64.28%
7599,47.53608909,"10,744",branch-misses,-58.11%
7600,47.53608909,"21,417",cache-misses,-68.75%
7601,47.53608909,"2,57,78,715",L1-dcache-load-misses,-74.07%
7602,47.53608909,"12,510",L1-icache-load-misses,-79.39%
7603,47.53608909,693,dTLB-load-misses,-84.04%
7604,47.53608909,851,dTLB-store-misses,-84.04%
7605,47.53608909,44,iTLB-load-misses,-31.26%
7606,47.53608909,"3,037",LLC-load-misses,-25.94%
7607,47.53608909,"4,383",LLC-store-misses,-21.28%
7608,47.53608909,"10,810",branch-load-misses,-26.60%
7609,47.53608909,"23,22,72,872",cycles,-36.81%
7610,47.53608909,"90,00,75,041",instructions              #    3.88  insn per cycle,-47.45%
7611,47.6112648,"9,362",branch-misses,-78.04%
7612,47.6112648,"18,806",cache-misses,-83.36%
7613,47.6112648,"2,58,61,330",L1-dcache-load-misses,-78.04%
7614,47.6112648,"11,260",L1-icache-load-misses,-72.72%
7615,47.6112648,567,dTLB-load-misses,-68.08%
7616,47.6112648,734,dTLB-store-misses,-68.08%
7617,47.6112648,39,iTLB-load-misses,-32.60%
7618,47.6112648,"2,843",LLC-load-misses,-37.91%
7619,47.6112648,"3,935",LLC-store-misses,-42.57%
7620,47.6112648,"9,312",branch-load-misses,-53.21%
7621,47.6112648,"23,22,61,338",cycles,-63.85%
7622,47.6112648,"90,09,14,899",instructions              #    3.88  insn per cycle,-72.73%
7623,47.68644257,"8,928",branch-misses,-57.43%
7624,47.68644257,"17,017",cache-misses,-68.07%
7625,47.68644257,"2,58,99,803",L1-dcache-load-misses,-68.07%
7626,47.68644257,"12,030",L1-icache-load-misses,-70.94%
7627,47.68644257,507,dTLB-load-misses,-76.26%
7628,47.68644257,659,dTLB-store-misses,-81.58%
7629,47.68644257,52,iTLB-load-misses,-39.71%
7630,47.68644257,"2,573",LLC-load-misses,-34.39%
7631,47.68644257,"3,595",LLC-store-misses,-29.07%
7632,47.68644257,"8,706",branch-load-misses,-34.39%
7633,47.68644257,"23,22,55,540",cycles,-39.71%
7634,47.68644257,"90,42,50,143",instructions              #    3.89  insn per cycle,-46.79%
7635,47.76161241,"8,726",branch-misses,-77.36%
7636,47.76161241,"15,717",cache-misses,-84.03%
7637,47.76161241,"2,58,30,244",L1-dcache-load-misses,-84.03%
7638,47.76161241,"11,700",L1-icache-load-misses,-81.17%
7639,47.76161241,510,dTLB-load-misses,-75.85%
7640,47.76161241,656,dTLB-store-misses,-70.53%
7641,47.76161241,28,iTLB-load-misses,-24.15%
7642,47.76161241,"2,382",LLC-load-misses,-29.46%
7643,47.76161241,"3,199",LLC-store-misses,-34.78%
7644,47.76161241,"8,905",branch-load-misses,-45.42%
7645,47.76161241,"23,22,38,004",cycles,-56.06%
7646,47.76161241,"90,31,06,613",instructions              #    3.89  insn per cycle,-66.71%
7647,47.8367794,"8,345",branch-misses,-58.77%
7648,47.8367794,"16,132",cache-misses,-68.07%
7649,47.8367794,"2,59,37,204",L1-dcache-load-misses,-68.07%
7650,47.8367794,"10,327",L1-icache-load-misses,-68.07%
7651,47.8367794,517,dTLB-load-misses,-68.07%
7652,47.8367794,401,dTLB-store-misses,-73.14%
7653,47.8367794,51,iTLB-load-misses,-42.58%
7654,47.8367794,"2,174",LLC-load-misses,-42.57%
7655,47.8367794,"6,938",LLC-store-misses,-37.50%
7656,47.8367794,"8,284",branch-load-misses,-42.83%
7657,47.8367794,"23,21,84,202",cycles,-48.14%
7658,47.8367794,"90,53,60,631",instructions              #    3.90  insn per cycle,-53.46%
7659,47.91192374,"7,848",branch-misses,-68.96%
7660,47.91192374,"14,227",cache-misses,-79.60%
7661,47.91192374,"2,59,21,371",L1-dcache-load-misses,-84.03%
7662,47.91192374,"11,959",L1-icache-load-misses,-84.03%
7663,47.91192374,392,dTLB-load-misses,-84.03%
7664,47.91192374,606,dTLB-store-misses,-78.96%
7665,47.91192374,42,iTLB-load-misses,-21.29%
7666,47.91192374,"2,132",LLC-load-misses,-21.29%
7667,47.91192374,"2,818",LLC-store-misses,-26.36%
7668,47.91192374,"7,901",branch-load-misses,-37.01%
7669,47.91192374,"23,21,73,694",cycles,-47.65%
7670,47.91192374,"90,60,03,253",instructions              #    3.90  insn per cycle,-58.30%
7671,47.98709516,"6,376",branch-misses,-67.17%
7672,47.98709516,"13,140",cache-misses,-72.50%
7673,47.98709516,"2,59,93,432",L1-dcache-load-misses,-68.07%
7674,47.98709516,"11,382",L1-icache-load-misses,-68.07%
7675,47.98709516,403,dTLB-load-misses,-68.07%
7676,47.98709516,528,dTLB-store-misses,-68.08%
7677,47.98709516,28,iTLB-load-misses,-42.57%
7678,47.98709516,"1,926",LLC-load-misses,-42.57%
7679,47.98709516,"2,624",LLC-store-misses,-42.57%
7680,47.98709516,"6,335",branch-load-misses,-51.22%
7681,47.98709516,"23,22,49,936",cycles,-56.54%
7682,47.98709516,"90,72,76,500",instructions              #    3.91  insn per cycle,-61.87%
7683,48.06227162,"5,759",branch-misses,-60.53%
7684,48.06227162,"12,792",cache-misses,-71.17%
7685,48.06227162,"2,59,84,476",L1-dcache-load-misses,-76.49%
7686,48.06227162,"11,621",L1-icache-load-misses,-81.81%
7687,48.06227162,396,dTLB-load-misses,-84.04%
7688,48.06227162,554,dTLB-store-misses,-84.04%
7689,48.06227162,38,iTLB-load-misses,-28.84%
7690,48.06227162,"1,862",LLC-load-misses,-23.52%
7691,48.06227162,"2,626",LLC-store-misses,-21.28%
7692,48.06227162,"5,642",branch-load-misses,-28.59%
7693,48.06227162,"23,22,65,866",cycles,-39.23%
7694,48.06227162,"90,80,39,535",instructions              #    3.91  insn per cycle,-49.87%
7695,48.13743811,"7,221",branch-misses,-75.62%
7696,48.13743811,"13,066",cache-misses,-80.94%
7697,48.13743811,"2,57,00,229",L1-dcache-load-misses,-75.62%
7698,48.13743811,"11,842",L1-icache-load-misses,-70.30%
7699,48.13743811,389,dTLB-load-misses,-68.07%
7700,48.13743811,559,dTLB-store-misses,-68.07%
7701,48.13743811,45,iTLB-load-misses,-35.02%
7702,48.13743811,"1,752",LLC-load-misses,-40.34%
7703,48.13743811,"2,457",LLC-store-misses,-42.57%
7704,48.13743811,"7,601",branch-load-misses,-53.21%
7705,48.13743811,"23,22,30,156",cycles,-63.85%
7706,48.13743811,"90,54,46,900",instructions              #    3.90  insn per cycle,-70.31%
7707,48.21263292,"8,145",branch-misses,-57.44%
7708,48.21263292,"12,878",cache-misses,-68.08%
7709,48.21263292,"2,53,97,135",L1-dcache-load-misses,-68.08%
7710,48.21263292,"11,525",L1-icache-load-misses,-73.35%
7711,48.21263292,331,dTLB-load-misses,-78.67%
7712,48.21263292,465,dTLB-store-misses,-83.99%
7713,48.21263292,34,iTLB-load-misses,-37.29%
7714,48.21263292,"1,641",LLC-load-misses,-31.97%
7715,48.21263292,"2,344",LLC-store-misses,-26.66%
7716,48.21263292,"8,084",branch-load-misses,-31.98%
7717,48.21263292,"23,22,97,005",cycles,-37.30%
7718,48.21263292,"90,28,03,778",instructions              #    3.89  insn per cycle,-46.80%
7719,48.28781246,"7,894",branch-misses,-78.72%
7720,48.28781246,"12,720",cache-misses,-84.04%
7721,48.28781246,"2,53,11,417",L1-dcache-load-misses,-84.04%
7722,48.28781246,"11,594",L1-icache-load-misses,-78.77%
7723,48.28781246,374,dTLB-load-misses,-73.45%
7724,48.28781246,523,dTLB-store-misses,-68.13%
7725,48.28781246,26,iTLB-load-misses,-26.55%
7726,48.28781246,"1,773",LLC-load-misses,-31.87%
7727,48.28781246,"2,388",LLC-store-misses,-37.18%
7728,48.28781246,"7,960",branch-load-misses,-47.82%
7729,48.28781246,"23,22,77,307",cycles,-58.46%
7730,48.28781246,"90,25,39,967",instructions              #    3.89  insn per cycle,-69.10%
7731,48.36298369,"9,107",branch-misses,-57.43%
7732,48.36298369,"11,849",cache-misses,-68.07%
7733,48.36298369,"2,53,58,553",L1-dcache-load-misses,-68.07%
7734,48.36298369,"9,971",L1-icache-load-misses,-68.07%
7735,48.36298369,328,dTLB-load-misses,-70.21%
7736,48.36298369,460,dTLB-store-misses,-75.54%
7737,48.36298369,42,iTLB-load-misses,-42.57%
7738,48.36298369,"1,696",LLC-load-misses,-40.43%
7739,48.36298369,"2,070",LLC-store-misses,-35.11%
7740,48.36298369,"8,940",branch-load-misses,-40.43%
7741,48.36298369,"23,22,33,428",cycles,-45.76%
7742,48.36298369,"90,37,54,780",instructions              #    3.89  insn per cycle,-51.08%
7743,48.43816852,"8,151",branch-misses,-71.31%
7744,48.43816852,"11,631",cache-misses,-81.95%
7745,48.43816852,"2,52,67,625",L1-dcache-load-misses,-84.04%
7746,48.43816852,"11,078",L1-icache-load-misses,-84.04%
7747,48.43816852,368,dTLB-load-misses,-81.90%
7748,48.43816852,488,dTLB-store-misses,-76.58%
7749,48.43816852,46,iTLB-load-misses,-21.28%
7750,48.43816852,"1,554",LLC-load-misses,-23.42%
7751,48.43816852,"1,924",LLC-store-misses,-28.74%
7752,48.43816852,"8,157",branch-load-misses,-39.37%
7753,48.43816852,"23,22,87,757",cycles,-50.01%
7754,48.43816852,"90,31,57,159",instructions              #    3.89  insn per cycle,-60.65%
7755,48.51334411,"8,024",branch-misses,-64.84%
7756,48.51334411,"11,605",cache-misses,-70.16%
7757,48.51334411,"2,52,63,265",L1-dcache-load-misses,-68.07%
7758,48.51334411,"11,089",L1-icache-load-misses,-68.07%
7759,48.51334411,339,dTLB-load-misses,-68.08%
7760,48.51334411,484,dTLB-store-misses,-68.08%
7761,48.51334411,32,iTLB-load-misses,-42.57%
7762,48.51334411,"1,569",LLC-load-misses,-42.57%
7763,48.51334411,"1,877",LLC-store-misses,-42.56%
7764,48.51334411,"7,968",branch-load-misses,-48.89%
7765,48.51334411,"23,22,42,292",cycles,-54.21%
7766,48.51334411,"90,37,56,716",instructions              #    3.89  insn per cycle,-59.53%
7767,48.58851454,"7,876",branch-misses,-62.86%
7768,48.58851454,"12,935",cache-misses,-73.50%
7769,48.58851454,"2,52,75,362",L1-dcache-load-misses,-78.82%
7770,48.58851454,"7,760",L1-icache-load-misses,-84.04%
7771,48.58851454,402,dTLB-load-misses,-84.04%
7772,48.58851454,703,dTLB-store-misses,-84.04%
7773,48.58851454,26,iTLB-load-misses,-26.51%
7774,48.58851454,"1,338",LLC-load-misses,-21.28%
7775,48.58851454,0,LLC-store-misses,-21.28%
7776,48.58851454,"7,878",branch-load-misses,-30.92%
7777,48.58851454,"23,22,52,828",cycles,-41.56%
7778,48.58851454,"90,51,47,760",instructions              #    3.90  insn per cycle,-52.20%
7779,48.66369596,"7,477",branch-misses,-73.28%
7780,48.66369596,"12,196",cache-misses,-78.61%
7781,48.66369596,"2,52,35,931",L1-dcache-load-misses,-73.29%
7782,48.66369596,"10,567",L1-icache-load-misses,-68.08%
7783,48.66369596,361,dTLB-load-misses,-68.08%
7784,48.66369596,499,dTLB-store-misses,-68.08%
7785,48.66369596,42,iTLB-load-misses,-37.35%
7786,48.66369596,"1,524",LLC-load-misses,-42.56%
7787,48.66369596,"1,738",LLC-store-misses,-42.56%
7788,48.66369596,"7,509",branch-load-misses,-53.20%
7789,48.66369596,"23,22,69,995",cycles,-62.66%
7790,48.66369596,"90,39,85,469",instructions              #    3.89  insn per cycle,-67.98%
7791,48.73883386,"36,944",branch-misses,-57.41%
7792,48.73883386,"1,15,630",cache-misses,-68.06%
7793,48.73883386,"2,54,42,665",L1-dcache-load-misses,-70.40%
7794,48.73883386,"19,407",L1-icache-load-misses,-75.72%
7795,48.73883386,"5,198",dTLB-load-misses,-81.05%
7796,48.73883386,"3,107",dTLB-store-misses,-84.03%
7797,48.73883386,111,iTLB-load-misses,-34.93%
7798,48.73883386,"12,598",LLC-load-misses,-29.61%
7799,48.73883386,"14,470",LLC-store-misses,-24.28%
7800,48.73883386,"27,695",branch-load-misses,-29.61%
7801,48.73883386,"23,21,39,127",cycles,-36.12%
7802,48.73883386,"81,09,80,715",instructions              #    3.49  insn per cycle,-46.76%
7803,48.81401475,"18,141",branch-misses,-78.72%
7804,48.81401475,"46,077",cache-misses,-84.04%
7805,48.81401475,"2,56,56,873",L1-dcache-load-misses,-81.70%
7806,48.81401475,"12,785",L1-icache-load-misses,-76.38%
7807,48.81401475,"1,942",dTLB-load-misses,-71.06%
7808,48.81401475,"1,366",dTLB-store-misses,-68.08%
7809,48.81401475,51,iTLB-load-misses,-28.94%
7810,48.81401475,"6,573",LLC-load-misses,-34.26%
7811,48.81401475,"7,911",LLC-store-misses,-39.58%
7812,48.81401475,"18,315",branch-load-misses,-50.22%
7813,48.81401475,"23,22,60,052",cycles,-60.86%
7814,48.81401475,"79,74,80,268",instructions              #    3.43  insn per cycle,-71.50%
7815,48.8891919,"12,898",branch-misses,-57.43%
7816,48.8891919,"35,909",cache-misses,-68.08%
7817,48.8891919,"2,57,30,930",L1-dcache-load-misses,-68.07%
7818,48.8891919,"14,688",L1-icache-load-misses,-68.07%
7819,48.8891919,"1,590",dTLB-load-misses,-72.60%
7820,48.8891919,"1,011",dTLB-store-misses,-77.92%
7821,48.8891919,46,iTLB-load-misses,-42.57%
7822,48.8891919,"4,807",LLC-load-misses,-38.05%
7823,48.8891919,"5,283",LLC-store-misses,-32.73%
7824,48.8891919,"12,802",branch-load-misses,-38.05%
7825,48.8891919,"23,22,39,508",cycles,-43.37%
7826,48.8891919,"79,84,70,203",instructions              #    3.44  insn per cycle,-48.69%
7828,48.9643396,"11,383",branch-misses,-73.72%
7829,48.9643396,"30,210",cache-misses,-84.03%
7830,48.9643396,"2,57,20,340",L1-dcache-load-misses,-84.03%
7831,48.9643396,"13,011",L1-icache-load-misses,-84.03%
7832,48.9643396,"1,255",dTLB-load-misses,-79.51%
7833,48.9643396,"1,077",dTLB-store-misses,-74.19%
7834,48.9643396,89,iTLB-load-misses,-21.29%
7835,48.9643396,"4,234",LLC-load-misses,-25.81%
7836,48.9643396,"5,781",LLC-store-misses,-31.13%
7837,48.9643396,"11,300",branch-load-misses,-41.78%
7838,48.9643396,"23,21,74,274",cycles,-52.41%
7839,48.9643396,"79,81,04,739",instructions              #    3.44  insn per cycle,-63.06%
7840,49.03951831,"10,285",branch-misses,-62.42%
7841,49.03951831,"27,015",cache-misses,-68.07%
7842,49.03951831,"2,57,18,935",L1-dcache-load-misses,-68.07%
7843,49.03951831,"13,025",L1-icache-load-misses,-68.07%
7844,49.03951831,"1,109",dTLB-load-misses,-68.07%
7845,49.03951831,772,dTLB-store-misses,-69.50%
7846,49.03951831,46,iTLB-load-misses,-42.57%
7847,49.03951831,"3,706",LLC-load-misses,-42.57%
7848,49.03951831,"4,083",LLC-store-misses,-41.14%
7849,49.03951831,"10,289",branch-load-misses,-46.47%
7850,49.03951831,"23,22,34,571",cycles,-51.79%
7851,49.03951831,"79,76,94,879",instructions              #    3.43  insn per cycle,-57.11%
7852,49.11471206,"9,185",branch-misses,-65.27%
7853,49.11471206,"25,232",cache-misses,-75.91%
7854,49.11471206,"2,57,13,319",L1-dcache-load-misses,-81.23%
7855,49.11471206,"13,698",L1-icache-load-misses,-84.04%
7856,49.11471206,"1,031",dTLB-load-misses,-84.04%
7857,49.11471206,726,dTLB-store-misses,-82.62%
7858,49.11471206,95,iTLB-load-misses,-24.10%
7859,49.11471206,"3,477",LLC-load-misses,-21.28%
7860,49.11471206,"3,603",LLC-store-misses,-22.70%
7861,49.11471206,"9,248",branch-load-misses,-33.34%
7862,49.11471206,"23,22,93,961",cycles,-43.97%
7863,49.11471206,"79,85,45,668",instructions              #    3.44  insn per cycle,-54.61%
7864,49.18988477,"8,190",branch-misses,-70.88%
7865,49.18988477,"21,852",cache-misses,-76.21%
7866,49.18988477,"2,58,12,652",L1-dcache-load-misses,-70.88%
7867,49.18988477,"11,641",L1-icache-load-misses,-68.07%
7868,49.18988477,928,dTLB-load-misses,-68.08%
7869,49.18988477,696,dTLB-store-misses,-68.08%
7870,49.18988477,37,iTLB-load-misses,-39.75%
7871,49.18988477,"3,091",LLC-load-misses,-42.57%
7872,49.18988477,"3,197",LLC-store-misses,-42.57%
7873,49.18988477,"8,286",branch-load-misses,-53.21%
7874,49.18988477,"23,22,41,162",cycles,-60.25%
7875,49.18988477,"80,07,83,422",instructions              #    3.45  insn per cycle,-65.58%
7876,49.26505937,"7,922",branch-misses,-57.43%
7877,49.26505937,"21,042",cache-misses,-68.07%
7878,49.26505937,"2,57,52,562",L1-dcache-load-misses,-72.78%
7879,49.26505937,"12,140",L1-icache-load-misses,-78.10%
7880,49.26505937,883,dTLB-load-misses,-83.42%
7881,49.26505937,868,dTLB-store-misses,-84.04%
7882,49.26505937,89,iTLB-load-misses,-32.55%
7883,49.26505937,"2,846",LLC-load-misses,-27.23%
7884,49.26505937,"3,090",LLC-store-misses,-21.91%
7885,49.26505937,"8,262",branch-load-misses,-27.23%
7886,49.26505937,"23,22,43,602",cycles,-36.15%
7887,49.26505937,"79,90,61,673",instructions              #    3.44  insn per cycle,-46.79%
7888,49.34020837,"6,996",branch-misses,-78.71%
7889,49.34020837,"18,726",cache-misses,-84.03%
7890,49.34020837,"2,58,28,011",L1-dcache-load-misses,-79.33%
7891,49.34020837,"12,148",L1-icache-load-misses,-74.01%
7892,49.34020837,826,dTLB-load-misses,-68.69%
7893,49.34020837,633,dTLB-store-misses,-68.07%
7894,49.34020837,19,iTLB-load-misses,-31.31%
7895,49.34020837,"2,661",LLC-load-misses,-36.63%
7896,49.34020837,"1,482",LLC-store-misses,-41.95%
7897,49.34020837,"7,086",branch-load-misses,-52.59%
7898,49.34020837,"23,22,22,012",cycles,-63.23%
7899,49.34020837,"80,11,58,450",instructions              #    3.45  insn per cycle,-73.39%
7900,49.41539128,"7,050",branch-misses,-57.43%
7901,49.41539128,"18,228",cache-misses,-68.07%
7902,49.41539128,"2,57,52,871",L1-dcache-load-misses,-68.07%
7903,49.41539128,"11,567",L1-icache-load-misses,-69.67%
7904,49.41539128,788,dTLB-load-misses,-74.99%
7905,49.41539128,549,dTLB-store-misses,-80.32%
7906,49.41539128,39,iTLB-load-misses,-40.98%
7907,49.41539128,"2,504",LLC-load-misses,-35.65%
7908,49.41539128,"2,650",LLC-store-misses,-30.33%
7909,49.41539128,"7,297",branch-load-misses,-35.66%
7910,49.41539128,"23,22,41,496",cycles,-40.98%
7911,49.41539128,"80,00,12,912",instructions              #    3.44  insn per cycle,-46.79%
7912,49.49056286,"6,335",branch-misses,-76.10%
7913,49.49056286,"17,488",cache-misses,-84.03%
7914,49.49056286,"2,58,17,126",L1-dcache-load-misses,-84.03%
7915,49.49056286,"12,838",L1-icache-load-misses,-82.43%
7916,49.49056286,720,dTLB-load-misses,-77.12%
7917,49.49056286,559,dTLB-store-misses,-71.80%
7918,49.49056286,21,iTLB-load-misses,-22.88%
7919,49.49056286,"2,350",LLC-load-misses,-28.20%
7920,49.49056286,"2,768",LLC-store-misses,-33.52%
