#,started on Fri,01-10-2013 03:16,,
,,,,
#,time,counts unit,events,
,1.353288518,28,iTLB-load-misses,-21.29%
,1.353288518,"13,175",LLC-load-misses,-24.42%
,1.353288518,"16,605",LLC-store-misses,-29.74%
,1.353288518,"17,17,702",branch-load-misses,-40.38%
,1.353288518,"23,20,76,849",cycles,-51.03%
,1.353288518,"56,68,27,671",instructions              #    2.44  insn per cycle,-61.67%
,1.428453552,"6,98,601",branch-misses,-63.80%
,1.428453552,"23,69,780",cache-misses,-69.12%
,1.428453552,"1,07,07,359",L1-dcache-load-misses,-68.08%
,1.428453552,"43,394",L1-icache-load-misses,-68.08%
,1.428453552,"35,714",dTLB-load-misses,-68.08%
,1.428453552,"34,720",dTLB-store-misses,-68.11%
,1.428453552,223,iTLB-load-misses,-42.56%
,1.428453552,"2,22,573",LLC-load-misses,-42.56%
,1.428453552,"6,89,141",LLC-store-misses,-42.53%
,1.428453552,"8,24,066",branch-load-misses,-47.85%
,1.428453552,"22,52,39,713",cycles,-53.18%
,1.428453552,"61,12,88,396",instructions              #    2.71  insn per cycle,-58.50%
,1.50367198,"2,63,652",branch-misses,-63.86%
,1.50367198,"9,71,779",cache-misses,-74.50%
,1.50367198,"77,61,761",L1-dcache-load-misses,-79.82%
,1.50367198,"81,517",L1-icache-load-misses,-84.04%
,1.50367198,"14,476",dTLB-load-misses,-84.04%
,1.50367198,"53,295",dTLB-store-misses,-84.02%
,1.50367198,"1,242",iTLB-load-misses,-25.51%
,1.50367198,"1,39,273",LLC-load-misses,-21.27%
,1.50367198,"3,90,695",LLC-store-misses,-21.30%
,1.50367198,"2,05,309",branch-load-misses,-31.93%
,1.50367198,"22,59,78,164",cycles,-42.58%
,1.50367198,"46,92,13,138",instructions              #    2.08  insn per cycle,-53.21%
,1.578833177,"2,56,639",branch-misses,-72.28%
,1.578833177,"8,95,700",cache-misses,-77.61%
,1.578833177,"87,42,426",L1-dcache-load-misses,-72.29%
,1.578833177,"27,982",L1-icache-load-misses,-68.06%
,1.578833177,"4,745",dTLB-load-misses,-68.07%
,1.578833177,"58,656",dTLB-store-misses,-68.08%
,1.578833177,868,iTLB-load-misses,-38.35%
,1.578833177,"90,697",LLC-load-misses,-42.58%
,1.578833177,"3,87,136",LLC-store-misses,-42.57%
,1.578833177,"2,70,123",branch-load-misses,-53.21%
,1.578833177,"23,06,52,126",cycles,-61.66%
,1.578833177,"48,37,84,163",instructions              #    2.10  insn per cycle,-66.98%
,1.653987348,"3,14,320",branch-misses,-57.42%
,1.653987348,"8,09,025",cache-misses,-68.07%
,1.653987348,"79,17,695",L1-dcache-load-misses,-71.39%
,1.653987348,"29,504",L1-icache-load-misses,-76.72%
,1.653987348,"4,250",dTLB-load-misses,-82.04%
,1.653987348,"41,592",dTLB-store-misses,-84.04%
,1.653987348,807,iTLB-load-misses,-33.93%
,1.653987348,"1,25,141",LLC-load-misses,-28.61%
,1.653987348,"3,64,705",LLC-store-misses,-23.29%
,1.653987348,"2,80,431",branch-load-misses,-28.61%
,1.653987348,"23,02,63,750",cycles,-36.14%
,1.653987348,"49,73,37,006",instructions              #    2.16  insn per cycle,-46.78%
,1.729166283,"4,81,424",branch-misses,-78.71%
,1.729166283,"9,34,169",cache-misses,-84.04%
,1.729166283,"68,40,039",L1-dcache-load-misses,-80.71%
,1.729166283,"27,739",L1-icache-load-misses,-75.39%
,1.729166283,"25,126",dTLB-load-misses,-70.07%
,1.729166283,"48,813",dTLB-store-misses,-68.08%
,1.729166283,905,iTLB-load-misses,-29.93%
,1.729166283,"1,07,056",LLC-load-misses,-35.25%
,1.729166283,"3,12,475",LLC-store-misses,-40.57%
,1.729166283,"4,13,310",branch-load-misses,-51.21%
,1.729166283,"22,90,57,434",cycles,-61.84%
,1.729166283,"54,08,59,012",instructions              #    2.36  insn per cycle,-72.48%
